Title,YouTube Link,brief_desc,Built With,By,Location,cluster
Visibl,https://www.youtube.com/watch?v=eW10Srhi7bY,"The application transforms audiobooks into immersive videobooks by dynamically generating real-time images based on audio transcription, named entity recognition, and image prompt generation using the Gemini API.",Firebase,visibl,UK,1
Visions,https://www.youtube.com/watch?v=BdFCC9AFvz8,"The application generates interactive visual artworks using AI-assisted synthesis, allowing users to modify parameters through sliders and code editing, ultimately creating unique digital art pieces.",Web/Chrome,iimaginary,UK,0
WalkieTalk AI,https://www.youtube.com/watch?v=-zF-Wcg37Yg,"The application allows users to connect with AI characters from around the world, powered by the Gemini API, for engaging conversations. It utilizes Google Cloud Storage and text-to-speech services to provide conversational data and context.","Flutter, Android, Web/Chrome, Google Cloud Storage, Google Speech to Text, Google Text to Speech, Google Compute Engine",Ryan Smith,UK,1
,https://www.youtube.com/watch?v=iSBj2kAjziQ,"The application is a configurable AI platform that enables enterprises to leverage large language models (LLMs) through a web/app-based front end and APIs, facilitating seamless interaction with LLMs without managing their APIs and databases.","Web/Chrome, Google Cloud ( and Flutter in near future)","Ajith Jose, Chelsy Jacob",UK,0
AURA 1,https://www.youtube.com/watch?v=J5vdkPJ87jM,"The application is an AI chatbot designed to provide empathetic support, information, and guidance to individuals experiencing emotional challenges through meaningful conversations with a virtual companion.",Web/Chrome,AURA,United Arab Emirates,0
BrandGrid,https://www.youtube.com/watch?v=P6ljHzboqL0,"The application simplifies branding by gathering dynamic data through live web searches, integrating it into a perceptual map, and generating personalized improvement plans tailored to a brand's specific needs.","Flutter, Web/Chrome, Firebase, Cloud Functions, Firestore, Cloud Storage","Team ValueGrid: Nawel Mahmoudi, Marc Jr. Fournier-Carrie, Marc Fournier-Carrie",United Arab Emirates,0
BrontoMind,https://www.youtube.com/watch?v=PYiInf0PJug,"The platform enables users to build custom machine learning models without programming, data analysis, or machine learning expertise by connecting their data and providing a user-friendly interface for generating intelligent results.",Web/Chrome,Hatem Gad,United Arab Emirates,0
Chat Lens,https://www.youtube.com/watch?v=o7wBYVFCBvE,"The application utilizes Google's Gemini API to provide dynamic and insightful AI responses based on textual prompts and images, offering a unique conversational experience with high-quality answers tailored to user queries.",Flutter,,United Arab Emirates,1
CrewTailor,https://www.youtube.com/watch?v=e94Twop9qUs,"The application empowers users to build and manage a personalized team of specialized agents with dynamic team management and seamless communication, using tools like file management, databases, and finance. It also supports environmental sustainability and enhances efficiency through inclusive features like screen reading and voice recognition.","Web/Chrome, Firebase",,United Arab Emirates,0
EaseLife,https://www.youtube.com/watch?v=5QkKifw4HEw,"The application provides a suite of features, including contact management, event planning, educational tools, health tracking, and travel planning, with an additional feature called ViewMate that uses Gemini's image processing capabilities to extract text from images.",Flutter,Raja Mohamed,United Arab Emirates,1
EcoPulse,https://www.youtube.com/watch?v=RqDfs8-7yK0,"The application helps businesses monitor, analyze, and reduce their carbon footprint by tracking emissions in real-time through a customizable platform with an intuitive dashboard. It integrates with the Gemini API for advanced data processing and analysis capabilities.","Web/Chrome, Gemini",Infirise Technologies,United Arab Emirates,1
Elevate AI,https://www.youtube.com/watch?v=GB3IombOcrQ,"The application provides personalized career insights, skill analysis, and career development tools to help users improve their skills and advance in their careers. It uses AI-driven technology to offer tailored recommendations and forecasts based on user inputs and real-time industry data.",Web/Chrome,Medhat Albsugy,United Arab Emirates,0
Flitchr,https://www.youtube.com/watch?v=tIbtDfm6_TY,"The application allows users to extract contact information from various sources, including business cards, digital business cards, email signatures, and flyers, using Google OCR and Gemini technology. It enables seamless data exchange and management of contacts across different devices.","Flutter, Android, Firebase, Kotlin Multiplatform Mobile (KMM)",Flitchr,United Arab Emirates,1
Janus 1,https://www.youtube.com/watch?v=Kj7PV4oXJQo,"The application allows users to control a story by making choices that shape its direction, creating a personalized interactive adventure. It uses AI and technology such as Gemini for scene generation and narration, and Google Text-To-Speech to make the experience engaging for blind users.",Android,Janus,United Arab Emirates,1
KitchenSync,https://www.youtube.com/watch?v=-SIYtGOfC3Y,"The application uses Gemini API to provide personalized recipe suggestions, engaging users with interactive conversations in their kitchen.","Flutter, Android, Firebase",Ziad Aloush,United Arab Emirates,1
Mody Math Bot,https://www.youtube.com/watch?v=pe_TXkWxu1U,"The application is a friendly AI companion designed to teach math to American high school students, using Google's Gemini API and Kotlin programming language in Android Studio. It aims to engage students in interactive and personalized math learning experiences through conversations, questions, and real-life applications.",Android,Mohamed Wael Abdou,United Arab Emirates,1
NewsTok,https://www.youtube.com/watch?v=Yuc4SwMdcg4,"The application aggregates news from credible sources, summarizes it, translates it, and creates short videos in multiple languages using AI-powered tools such as Gemini for summarization and translation.","Flutter, Firebase",NewsTok,United Arab Emirates,1
ProAct+ 2,https://www.youtube.com/watch?v=hgPNK-ZXEvg,"The application helps users manage their time and tasks by providing a suite of features, including smart task management, AI-powered task organization, and calendar tracking. It aims to help users overcome procrastination and achieve their goals more efficiently.","Flutter, Android",Zeriux Labs,United Arab Emirates,0
ReMind,https://www.youtube.com/watch?v=ps35Vtb9k2I,"The application assists individuals with Alzheimer's disease in managing daily tasks, medications, and routines through a personalized chatbot and interactive games to improve memory and cognitive skills, providing insights into their well-being and safety.","Flutter, Android, Firebase, Google Maps",ReMind,United Arab Emirates,0
Rezme,https://www.youtube.com/watch?v=b2FjWkXCeyo,"The application uses Gemini AI to generate resumes, analyze job descriptions for optimization, and provide interview preparation tools.","Flutter, Firebase",Rezme,United Arab Emirates,1
Study Cannon,https://www.youtube.com/watch?v=1IksXT4YPZ8,"The application is an AI-powered learning companion that provides personalized learning experiences, including AI-driven insights, engaging quizzes, customizable studies, and multilingual support. It uses the Gemini API to offer a unique and effective way to learn new subjects.","Android, Firebase, google sheets",The Pythoners,United Arab Emirates,1
TILER,https://www.youtube.com/watch?v=yLpfGe4X0Zc,"The application leverages AI-powered chatbot technology to streamline guest interactions and optimize hotel operations, providing a seamless experience through simple, engaging conversations. It utilizes natural language processing (NLP) and machine learning algorithms to analyze guest interactions and improve responses over time.","Web/Chrome, Firebase",kawruhe,United Arab Emirates,0
Valens,https://www.youtube.com/watch?v=5jyvsu38ty4,"The application uses AI-powered technology to transform traditional study materials into interactive learning experiences, enhancing medical education by providing dynamic and engaging study sessions.",Firebase,,United Arab Emirates,0
